#White, J., Bradley, E., Garland, J., Jones, T., Morris, V., Price, M., Vaughn, B., 2019. Stable #Isotopes of Ice in the Transition and Glacial Sections of the WAIS Divide Deep Ice Core. #https://doi.org/10.15784/601274 from WDC_accumulation_annual.xls downloaded 03/2024
#50-year and 100-year average accumulation rates;;;;
;;;;
Age (years before 1950 on WD2014);Advection-correction accumulation rate (ice eq.);;Age (years before 1950 on WD2014);Advection-correction accumulation rate (ice eq.)
23800;0,088448593;;;
23850;0,094528306;;;
23900;0,093353442;;;
23950;0,091987162;;;
24000;0,093785286;;;
24050;0,097151116;;;
24100;0,089342615;;;
24150;0,092038975;;;
24200;0,094489732;;;
24250;0,09390019;;;
24300;0,101298638;;;
24350;0,103209933;;;
24400;0,09832217;;;
24450;0,091094094;;;
24500;0,099463702;;;
24550;0,102584679;;;
24600;0,099730567;;;
24650;0,103392898;;;
24700;0,106384376;;;
24750;0,102155867;;;
24800;0,098860195;;;
24850;0,108798944;;;
24900;0,109707106;;;
24950;0,113111111;;;
25000;0,104536271;;;
25050;0,105592648;;;
25100;0,111237244;;;
25150;0,106990467;;;
25200;0,113200427;;;
25250;0,108647421;;;
25300;0,106452473;;;
25350;0,109477005;;;
25400;0,101035014;;;
25450;0,106088705;;;
25500;0,104499364;;;
25550;0,104621743;;;
25600;0,106563716;;;
25650;0,105500609;;;
25700;0,105057163;;;
25750;0,102852912;;;
25800;0,105838086;;;
25850;0,102612262;;;
25900;0,103647289;;;
25950;0,105916001;;;
26000;0,104204607;;;
26050;0,106874619;;;
26100;0,109288369;;;
26150;0,104202574;;;
26200;0,107978349;;;
26250;0,108750353;;;
26300;0,112403043;;;
26350;0,117191083;;;
26400;0,113484195;;;
26450;0,112370849;;;
26500;0,110208824;;;
26550;0,107502155;;;
26600;0,117363715;;;
26650;0,115068587;;;
26700;0,112402964;;;
26750;0,116684399;;;
26800;0,112520821;;;
26850;0,116738118;;;
26900;0,114577235;;;
26950;0,119347346;;;
27000;0,114913962;;;
27050;0,107773614;;;
27100;0,112185411;;;
27150;0,120195323;;;
27200;0,118086593;;;
27250;0,11546909;;;
27300;0,125196752;;;
27350;0,124253653;;;
27400;0,122758443;;;
27450;0,124901739;;;
27500;0,118841991;;;
27550;0,135384746;;;
27600;0,130026316;;;
27650;0,134828101;;;
27700;0,13652474;;;
27750;0,124459536;;;
27800;0,121176174;;;
27850;0,132711905;;;
27900;0,128798716;;;
27950;0,126946846;;;
28000;0,13080453;;;
28050;0,123291437;;;
28100;0,130210306;;;
28150;0,135334912;;;
28200;0,137508771;;;
28250;0,13004239;;;
28300;0,13470048;;;
28350;0,135368007;;;
28400;0,130251818;;;
28450;0,123587958;;;
28500;0,120887629;;;
28550;0,125797891;;;
28600;0,118755499;;;
28650;0,126643243;;;
28700;0,119499485;;;
28750;0,124746775;;;
28800;0,125950362;;;
28850;0,130496688;;;
28900;0,110691415;;;
28950;0,11473653;;;
29000;0,113159299;;;
29050;0,123808972;;;
29100;0,128724016;;;
29150;0,119939387;;;
29200;0,122315955;;;
29250;0,129117809;;;
29300;0,118830858;;;
29350;0,120365994;;;
29400;0,122198411;;;
29450;0,11841588;;;
29500;0,117527642;;;
29550;0,115801008;;;
29600;0,122543085;;;
29650;0,130868847;;;
29700;0,109383886;;;
29750;0,115296072;;;
29800;0,115896083;;;
29850;0,109246301;;;
29900;0,121608224;;;
29950;0,119778783;;;
30000;0,118510694;;;
30050;0,109695096;;;
30100;0,109903542;;;
30150;0,105219103;;;
30200;0,111449572;;;
30250;0,104369883;;;
30300;0,113386468;;;
30350;0,103568682;;;
30400;0,10043748;;;
30450;0,104191904;;;
30500;0,107184964;;;
30550;0,101285999;;;
30600;0,116538398;;;
30650;0,1092433;;;
30700;0,109277422;;;
30750;0,108633569;;;
30800;0,10787628;;;
30850;0,105394469;;;
30900;0,110346836;;;
30950;0,108644818;;;
31000;0,099560183;;;
